Feature,Importance
EC,0.6280160038553076
Latitude,0.11249002282098722
DO,0.030536023404475955
Total Hardness (as CaCO3),0.024034065758942284
Na,0.02000017763094546
Mn,0.017984574163207877
F,0.01638897864666077
K,0.014102899486484903
Mg,0.013354507303836393
Longitude,0.012743520159963748
As,0.012647098313403807
SO4-2,0.012606223747631805
Ph,0.012493025224567085
COD,0.01089442576893126
Depth of Borewell,0.010242865621560118
Zinc (as Zn),0.00915410636055051
Cl,0.00877482092100758
BOD,0.007732519475592431
Ca,0.007538887637416849
ORP (mV),0.005528381701496559
NO3,0.004947570638387861
Temp.,0.0033151941718737787
HCO3-,0.0029446834196838775
Fe,0.0015294237670842683
